,date,stock,1_return,3_return,6_return,12_return,1_return_over_zero,amc,amc_over_mean
0,192607,SMALL LoBM,0.0,0.0,0.0,0.0,0,2.75,0
1,192607,ME1 BM2,0.0,0.0,0.0,0.0,0,3.48,0
2,192607,ME1 BM3,0.0,0.0,0.0,0.0,0,2.46,0
3,192607,ME1 BM4,0.0,0.0,0.0,0.0,0,2.09,0
4,192607,SMALL HiBM,0.0,0.0,0.0,0.0,0,1.89,0
5,192607,ME2 BM1,0.0,0.0,0.0,0.0,0,7.04,0
6,192607,ME2 BM2,0.0,0.0,0.0,0.0,0,6.32,0
7,192607,ME2 BM3,0.0,0.0,0.0,0.0,0,7.45,0
8,192607,ME2 BM4,0.0,0.0,0.0,0.0,0,7.55,0
9,192607,ME2 BM5,0.0,0.0,0.0,0.0,0,6.16,0
10,192607,ME3 BM1,0.0,0.0,0.0,0.0,0,14.53,0
11,192607,ME3 BM2,0.0,0.0,0.0,0.0,0,13.44,0
12,192607,ME3 BM3,0.0,0.0,0.0,0.0,0,14.66,0
13,192607,ME3 BM4,0.0,0.0,0.0,0.0,0,14.26,0
14,192607,ME3 BM5,0.0,0.0,0.0,0.0,0,13.32,0
15,192607,ME4 BM1,0.0,0.0,0.0,0.0,0,38.79,0
16,192607,ME4 BM2,0.0,0.0,0.0,0.0,0,35.56,0
17,192607,ME4 BM3,0.0,0.0,0.0,0.0,0,38.67,0
18,192607,ME4 BM4,0.0,0.0,0.0,0.0,0,37.06,0
19,192607,ME4 BM5,0.0,0.0,0.0,0.0,0,30.49,0
20,192607,BIG LoBM,0.0,0.0,0.0,0.0,0,191.52,1
21,192607,ME5 BM2,0.0,0.0,0.0,0.0,0,233.65,1
22,192607,ME5 BM3,0.0,0.0,0.0,0.0,0,221.9,1
23,192607,ME5 BM4,0.0,0.0,0.0,0.0,0,190.12,1
24,192607,BIG HiBM,0.0,0.0,0.0,0.0,0,118.66,1
25,192608,SMALL LoBM,3.7781999999999982,3.7781999999999982,3.7781999999999982,3.7781999999999982,1,2.85,0
26,192608,ME1 BM2,-0.4118999999999984,-0.4118999999999984,-0.4118999999999984,-0.4118999999999984,0,3.46,0
27,192608,ME1 BM3,-1.9433999999999951,-1.9433999999999951,-1.9433999999999951,-1.9433999999999951,0,2.41,0
28,192608,ME1 BM4,0.3530000000000033,0.3530000000000033,0.3530000000000033,0.3530000000000033,1,2.1,0
29,192608,SMALL HiBM,2.053400000000005,2.053400000000005,2.053400000000005,2.053400000000005,1,1.93,0
30,192608,ME2 BM1,2.1903999999999924,2.1903999999999924,2.1903999999999924,2.1903999999999924,1,7.18,0
31,192608,ME2 BM2,2.419199999999999,2.419199999999999,2.419199999999999,2.419199999999999,1,6.47,0
32,192608,ME2 BM3,0.4925999999999986,0.4925999999999986,0.4925999999999986,0.4925999999999986,1,7.48,0
33,192608,ME2 BM4,-1.576999999999995,-1.576999999999995,-1.576999999999995,-1.576999999999995,0,7.41,0
34,192608,ME2 BM5,-0.33440000000000136,-0.33440000000000136,-0.33440000000000136,-0.33440000000000136,0,6.14,0
35,192608,ME3 BM1,1.911599999999991,1.911599999999991,1.911599999999991,1.911599999999991,1,14.78,0
36,192608,ME3 BM2,2.4335999999999913,2.4335999999999913,2.4335999999999913,2.4335999999999913,1,13.71,0
37,192608,ME3 BM3,0.005300000000008076,0.005300000000008076,0.005300000000008076,0.005300000000008076,1,14.64,0
38,192608,ME3 BM4,3.4572000000000047,3.4572000000000047,3.4572000000000047,3.4572000000000047,1,14.68,0
39,192608,ME3 BM5,-1.2629000000000001,-1.2629000000000001,-1.2629000000000001,-1.2629000000000001,0,13.16,0
40,192608,ME4 BM1,1.5892999999999935,1.5892999999999935,1.5892999999999935,1.5892999999999935,1,39.24,0
41,192608,ME4 BM2,1.5277999999999903,1.5277999999999903,1.5277999999999903,1.5277999999999903,1,36.07,0
42,192608,ME4 BM3,1.1868999999999907,1.1868999999999907,1.1868999999999907,1.1868999999999907,1,39.01,0
43,192608,ME4 BM4,0.2726999999999924,0.2726999999999924,0.2726999999999924,0.2726999999999924,1,37.09,0
44,192608,ME4 BM5,2.4677999999999978,2.4677999999999978,2.4677999999999978,2.4677999999999978,1,31.24,0
45,192608,BIG LoBM,3.4539000000000097,3.4539000000000097,3.4539000000000097,3.4539000000000097,1,197.76,1
46,192608,ME5 BM2,6.090200000000001,6.090200000000001,6.090200000000001,6.090200000000001,1,247.31,1
47,192608,ME5 BM3,2.0265999999999895,2.0265999999999895,2.0265999999999895,2.0265999999999895,1,226.09,1
48,192608,ME5 BM4,3.111100000000011,3.111100000000011,3.111100000000011,3.111100000000011,1,195.17,1
49,192608,BIG HiBM,0.5622999999999934,0.5622999999999934,0.5622999999999934,0.5622999999999934,1,119.33,1
50,192609,SMALL LoBM,-2.207400000000004,1.487400013200002,1.487400013200002,1.487400013200002,0,2.79,0
51,192609,ME1 BM2,-8.7275,-9.103451427499998,-9.103451427499998,-9.103451427499998,0,3.16,0
52,192609,ME1 BM3,2.4404000000000092,0.44957326640000517,0.44957326640000517,0.44957326640000517,1,2.46,0
53,192609,ME1 BM4,0.6086000000000036,0.9637483580000161,0.9637483580000161,0.9637483580000161,1,2.1,0
54,192609,SMALL HiBM,8.396800000000004,10.622619891200014,10.622619891200014,10.622619891200014,1,2.09,0
55,192609,ME2 BM1,2.170899999999998,4.4088513935999885,4.4088513935999885,4.4088513935999885,1,7.33,0
56,192609,ME2 BM2,-1.1848999999999998,1.2056348992000032,1.2056348992000032,1.2056348992000032,0,6.37,0
57,192609,ME2 BM3,4.008400000000001,4.520745378399993,4.520745378399993,4.520745378399993,1,7.74,0
58,192609,ME2 BM4,0.46429999999999527,-1.1200220109999992,-1.1200220109999992,-1.1200220109999992,1,7.44,0
59,192609,ME2 BM5,6.167499999999992,5.812475880000001,5.812475880000001,5.812475880000001,1,6.52,0
60,192609,ME3 BM1,-0.939000000000001,0.9546500759999965,0.9546500759999965,0.9546500759999965,0,14.63,0
61,192609,ME3 BM2,2.3886000000000074,4.880328969600001,4.880328969600001,4.880328969600001,1,14.02,0
62,192609,ME3 BM3,1.968100000000006,1.9735043093000115,1.9735043093000115,1.9735043093000115,1,14.87,0
63,192609,ME3 BM4,4.44500000000001,8.05587254000002,8.05587254000002,8.05587254000002,1,15.28,0
64,192609,ME3 BM5,8.116900000000005,6.751491669900012,6.751491669900012,6.751491669900012,1,14.2,0
65,192609,ME4 BM1,1.3336000000000015,2.9440949047999876,2.9440949047999876,2.9440949047999876,1,39.67,0
66,192609,ME4 BM2,3.872999999999993,5.459971693999988,5.459971693999988,5.459971693999988,1,37.3,0
67,192609,ME4 BM3,2.005900000000005,3.2166080270999986,3.2166080270999986,3.2166080270999986,1,39.69,0
68,192609,ME4 BM4,2.1706000000000003,2.4492192261999834,2.4492192261999834,2.4492192261999834,1,37.77,0
69,192609,ME4 BM5,5.342200000000008,7.9418348116000015,7.9418348116000015,7.9418348116000015,1,32.76,0
