Best_dup0,EW_dup0,MV_dup0,EG_dup0,ONS_dup0
2.0141235590180434e+36,3.1252520805202746,2.5691227704045754,3.125067955961741,5.594489815097306
2.0737214751293874e+36,3.1088436389719654,2.5585354674334146,3.1084996535750604,5.5368199411480745
2.1156521233565035e+36,3.063654869544153,2.5293620170408024,3.0628660971737953,5.472192327539989
2.176096304520799e+36,3.0619553921067975,2.539528054115318,3.060424636111928,5.4913075756986816
2.207410330342853e+36,3.020897121928139,2.516776006008765,3.0185248930978825,5.446004376048203
2.308907057332017e+36,3.01585054545834,2.5125353239812096,3.013821012857457,5.436415639370735
2.551942614186785e+36,3.071346384176087,2.5417345227558714,3.07047813577774,5.502004867251774
2.7081725410273e+36,3.08900918534042,2.5525528464013205,3.088454192031305,5.523111273239271
2.81232885695521e+36,3.056625214322661,2.535932797418941,3.0555919252051007,5.493347228813488
2.8758874891223975e+36,3.0040359775102394,2.5046006704737427,3.002601837932429,5.430608522035198
2.960582375677052e+36,2.9926598601542955,2.4901813257402017,2.991176398606809,5.389906850976426
3.139608791934243e+36,2.990032138538199,2.494008332346114,2.9877145848926325,5.380703794444848
3.180392310141469e+36,2.9585853060856064,2.467792121484339,2.9563584653222557,5.332148248353902
3.222150861173627e+36,2.884095524541636,2.4313545110540415,2.880450901346219,5.283509972833966
3.306603435244988e+36,2.861591568073754,2.424060472200691,2.85748832362117,5.297220902780734
3.582142699503952e+36,2.8744234215969247,2.4252243820646044,2.871068227247636,5.3264876403328465
3.8913890787521284e+36,2.9441202050611457,2.4615876399827346,2.9419349482343384,5.3794433433948425
4.3630643489876743e+36,3.007607703849785,2.497060368941242,3.005513279872482,5.434517558821123
4.53086780384974e+36,2.9946415728598543,2.5003269872918414,2.991519530145002,5.418352335442984
4.8329407603324024e+36,3.0072506775713572,2.502409593965769,3.0050663492035894,5.405760142338997
5.074587798349023e+36,3.036654071071311,2.5229822931717703,3.0348750736515266,5.433740107487237
5.346433466706579e+36,3.0438028608636247,2.537689231567116,3.042165877760826,5.433777566577135
5.479559660027573e+36,3.0366600701501314,2.5455907372671165,3.0348649742523217,5.4405028279624
5.657042597415866e+36,3.0227496364787854,2.5419356400419675,3.0205080192981795,5.4137281601703675
5.758812793743377e+36,3.000046267750799,2.5248374029691285,2.997662617689228,5.3717625927697386
5.92524248348256e+36,2.993560334389159,2.5263701861836765,2.990932485318602,5.384614761970516
6.205150938402276e+36,3.027059106075511,2.5471539254166102,3.0246997181067923,5.422971783531562
6.543641922092121e+36,3.069643941749731,2.571751040792812,3.0677618743998143,5.46213163027579
6.914012054882535e+36,3.1003011579390836,2.5723727928226907,3.099260313863621,5.489731225527433
7.448810887327699e+36,3.1317700758869313,2.603314466355691,3.130481987630375,5.560261910457497
7.72091594904178e+36,3.1389696673169425,2.6320643241527546,3.1372977285416566,5.593694456583223
8.603339432857764e+36,3.1493936624204912,2.635344644105255,3.147977174839472,5.5831087209110315
9.056133187209068e+36,3.1574849796381934,2.63632039378102,3.1562677160464347,5.559626256664189
1.0574212793380923e+37,3.142143110953796,2.6178504502483446,3.1414876904095768,5.540613210972099
1.0713369433741817e+37,3.1143796581159267,2.6009880925411477,3.113253706036307,5.513932564683714
1.1546655308298254e+37,3.1218048582841513,2.5991319062147613,3.1209098555768158,5.5178208188649105
1.1858761401281557e+37,3.12321400631046,2.604573572891501,3.122376399036844,5.546302476877843
1.2491189146811904e+37,3.145311612964553,2.615254598608559,3.144357472151026,5.568104647018159
1.2965479598716353e+37,3.1426878988607383,2.616924724581373,3.1418778703435755,5.5784783293779965
1.3281707646129044e+37,3.1094234204201583,2.6037973068942826,3.107942386847388,5.576429837004405
1.3705526937117023e+37,3.0948739099987757,2.5825746341729143,3.0939762308770606,5.4966941297127265
1.396510961730602e+37,3.0681849209610226,2.5734127206485478,3.0667045854538038,5.454934693484169
1.5608104763782072e+37,3.044513022022219,2.55987161339479,3.0434051738333063,5.413937348068098
1.7043269996811834e+37,3.0751518170985643,2.5669551827434245,3.075109598193356,5.425141710334069
1.8260670772684106e+37,3.1264641420022063,2.5970113212016703,3.126372495216742,5.491553438670225
1.8872220636861298e+37,3.0980645575834247,2.5916724128403263,3.096911718061462,5.4821836088686275
2.0706977927176954e+37,3.1086375634596664,2.5781354525199105,3.107953219793824,5.449022787033781
2.148576736701808e+37,3.1298479702572384,2.5885686099127407,3.1283574850947278,5.505101844915118
2.2123894657818516e+37,3.131824990891784,2.5950580977798294,3.129971629332334,5.498755516241459
2.2774558399704957e+37,3.120623496841028,2.590781457700445,3.1187236459222514,5.46420989515334
2.3859082870698907e+37,3.1330106384437664,2.6141881543421697,3.1306094269431077,5.446883346691243
2.476715956475771e+37,3.136590973378921,2.624669285418115,3.134515932255675,5.435793966661113
2.5925767289197076e+37,3.145033630748933,2.625817339982621,3.142903132094597,5.441605274386976
2.730475885130947e+37,3.152841176737267,2.63879212219808,3.1507066041546694,5.446765228287985
2.925513777605851e+37,3.1497662808007325,2.6348902195240744,3.1471845764453947,5.448984143655632
3.0169360831560335e+37,3.1321879601486304,2.6126911674974864,3.1297604534685313,5.387179832508958
3.726790974161817e+37,3.1269406752631705,2.6005655471985247,3.125465760283642,5.348722899643029
4.2284915751034803e+37,3.1054229804442,2.5795694713650987,3.1038445828440726,5.309230589142691
4.331624484620254e+37,3.090590272625106,2.568112641434392,3.0890206515312215,5.290876695478065
4.447668704563231e+37,3.0641631503022677,2.553760138253452,3.0622683755660596,5.252136896759633
4.846446680614371e+37,3.102992055511612,2.575592700678987,3.1011727381801912,5.329721158541808
4.994360233306721e+37,3.10576750951682,2.5830808491435744,3.1034424384872437,5.344144922550256
5.288128502229823e+37,3.1154229956186286,2.586766098835068,3.113709759639819,5.346786406433193
5.491509924425582e+37,3.1083016578878104,2.5633299633897475,3.106818988076456,5.294296636355715
5.587556433003785e+37,3.0884085272773287,2.5558598540875037,3.0861694659272265,5.267338021019059
5.739761470238808e+37,3.090606444679241,2.5580172626799853,3.0879126761808635,5.260187408861652
6.049077215869978e+37,3.120375852755824,2.572594632421507,3.118048456142632,5.291607419953305
6.711390680235582e+37,3.1802541318280677,2.6284697153471996,3.178411279277953,5.424530011889013
7.250718035299314e+37,3.220652193341539,2.6701025304282293,3.2183845151398107,5.549644385554701
