,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,ME1 BM5,ME1 BM6,ME1 BM7,ME1 BM8,ME1 BM9,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME2 BM6,ME2 BM7,ME2 BM8,ME2 BM9,ME2 BM10,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME3 BM6,ME3 BM7,ME3 BM8,ME3 BM9,ME3 BM10,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,ME4 BM6,ME4 BM7,ME4 BM8,ME4 BM9,ME4 BM10,ME5 BM1,ME5 BM2,ME5 BM3,ME5 BM4,ME5 BM5,ME5 BM6,ME5 BM7,ME5 BM8,ME5 BM9,ME5 BM10,ME6 BM1,ME6 BM2,ME6 BM3,ME6 BM4,ME6 BM5,ME6 BM6,ME6 BM7,ME6 BM8,ME6 BM9,ME6 BM10,ME7 BM1,ME7 BM2,ME7 BM3,ME7 BM4,ME7 BM5,ME7 BM6,ME7 BM7,ME7 BM8,ME7 BM9,ME7 BM10,ME8 BM1,ME8 BM2,ME8 BM3,ME8 BM4,ME8 BM5,ME8 BM6,ME8 BM7,ME8 BM8,ME8 BM9,ME8 BM10,ME9 BM1,ME9 BM2,ME9 BM3,ME9 BM4,ME9 BM5,ME9 BM6,ME9 BM7,ME9 BM8,ME9 BM9,ME9 BM10,BIG LoBM,ME10 BM2,ME10 BM3,ME10 BM4,ME10 BM5,ME10 BM6,ME10 BM7,ME10 BM8,ME10 BM9,BIG HiBM
198502,18.22,18.89,20.61,18.29,19.37,19.81,20.38,18.28,16.4,13.52,73.04,84.25,79.46,81.3,79.51,79.86,79.68,75.16,77.01,83.11,129.74,129.45,142.43,129.91,134.9,135.13,137.28,138.67,144.15,129.6,194.04,212.2,191.21,189.86,204.54,221.43,219.24,197.05,192.74,226.35,316.36,340.66,339.3,332.8,289.48,370.46,348.99,334.22,300.02,329.03,454.1,411.53,490.07,444.71,487.94,459.88,485.93,408.05,493.63,505.96,647.78,668.02,688.48,679.51,708.22,620.67,620.79,706.18,679.51,728.52,1061.36,1046.5,1133.88,1023,1072.14,1099.07,1094.62,1033.76,1166.4,1058.4,1815.31,2063.27,1671.06,1698.37,1767.25,2029.42,1786.86,1743.28,1610.91,1979.87,9338.7,6668.31,4703.42,4574.41,3580.16,7366.91,6433.2,7827.67,6674.57,4485.89
198503,18.99,19.94,21.7,19.13,19.87,21.38,21.33,19.15,16.62,14.25,75.52,85.79,83.46,84.47,81.05,81.24,79.82,75.04,77.57,86.67,133.64,132.53,148.73,133.28,137.18,138.8,138.51,141.2,144.67,128.89,198.22,221.8,195.09,195.37,206.46,228.74,225.04,198.15,194.9,227.97,319.02,343.9,342.59,334.21,292.27,386.02,357.27,338.57,304.98,323.3,460.29,435.99,489.23,450.97,483.27,461.03,491.9,411.93,481.65,494.64,671.64,674.95,694.55,676,718.99,611.64,625.77,697.32,671.87,732.14,1086.63,1073.14,1101.37,996.46,1072.49,1134.96,1122.24,1063.46,1195.91,1049.5,1817.27,2036.83,1714.12,1762.27,1797.85,2110.06,1797.15,1778.51,1642.07,1964.37,9243.78,6713.73,4902.53,4564.65,3619.39,7324.23,6632.5,7949.61,6866.06,4529.07
198504,18.66,19.71,20.8,18.48,19.67,20.75,20.62,19.19,16.54,13.96,73.05,83.5,81.49,81.33,78.69,81.26,79.09,72.97,75.5,86.63,127.55,123.22,143.13,126.46,133.74,139.31,140.64,143.77,151.26,131.78,189.01,214.49,190.38,186.66,198.27,232.32,224.28,193.99,200.8,231.97,307.89,328.32,346.59,326.49,292.09,383.01,361.05,338.62,303.06,349.99,430.51,436.64,483.11,436.18,470.21,443.54,498.34,413.98,493.69,514.12,642.98,650.76,736.33,666.1,726.99,666.58,605.23,701.63,713.77,723.58,1051.12,1071.11,1015.59,942.4,1051.55,1109.11,1137.02,1079.57,1257.19,1080.9,1682.56,2077.18,1762.54,1804.44,1815.23,2127.35,1796.77,1799.84,1682.74,2004.64,9001.5,6706.74,4952.27,4527.42,3715.47,7080.97,6513.49,8123.31,6882.42,4600.99
198505,18.02,19.33,20.41,18.19,20.15,20.31,19.94,19.3,16.77,14.17,72.11,80.38,79.73,79.8,80.16,80.52,78.54,73.33,74.14,87.92,123.35,118.98,137.17,123.12,127.53,134.64,140.18,146.01,153.03,134.98,179.43,219.08,192.5,184.72,194.51,238.71,233.87,197.17,194.89,233.29,304.83,320.95,344.54,315.77,289.21,385.19,367.18,351.48,311.19,351.97,421.52,442.43,478.33,421.05,459.44,441.01,499.67,429.47,501.66,506.73,628.63,658.49,710.8,654.46,732.55,573.44,591.38,690.93,739.85,718.52,1021.8,1062.88,954.58,919.55,1054.04,1123.53,1141.81,1106.69,1181.71,1077.61,1651.81,2032.17,1775.39,1747.75,1818.26,2128.62,1762.41,1790.64,1676.19,2048.05,8819.78,6622.43,4754.37,4429.12,3722.51,6827.39,6765.22,8200.85,7106.94,4763.85
198506,18.39,19.98,21.27,18.57,20.79,21.13,20.08,19.6,16.64,14.13,74.91,81.61,83.74,81.04,84.51,82.74,81.31,74.93,74.1,90.77,129.7,121.17,144.71,127.06,132.73,132.39,149.5,152,158.28,141.23,185.03,229.01,201.36,187.46,199.33,250.29,248.19,203.83,199.53,234.73,325.63,339.19,363.05,335.39,291.25,398.99,392.4,363.6,326.44,367.42,448.08,473.78,505.67,435.64,469.46,454.86,512.96,464.84,526.87,512.65,637.16,710.87,754.39,694.32,766,600.99,610,707.45,762.86,789.63,1097.59,1158,987.86,971.4,1115.67,1182.8,1171.16,1170.44,1263.94,1118.97,1748.24,2199.78,1853.21,1937.07,1961.28,2275.78,1868.4,1918.87,1802.38,2121.81,9221.44,6980.55,5065.83,4759.45,4224.63,7264.66,6962.96,7865.04,7323.34,4884.23
198507,17.09,18.55,18.22,17.07,18.37,17.7,17.62,17.7,15.08,11.52,73.67,72.38,70.5,77.48,71.95,72.64,70.33,68.33,72.77,70.45,122.24,126.85,123.19,123.31,126.92,123.39,120.5,121.98,119.86,124.55,190.88,193.22,199.11,192.14,195.73,199.01,191.66,200.59,188.12,194.2,296.3,318.94,296.36,305.62,316.54,309.89,319.86,311.52,302.14,286.69,477.6,477.67,449.76,446.57,464.91,455.02,472.28,473.96,482.48,501.72,702.13,730.26,728.43,756.48,746.62,701.73,736.66,729.67,696.27,750.3,1122.28,1127.57,1049.76,1108.53,1141.29,1198.92,1154.71,1126.17,1143.1,1183.22,2137.47,1947.58,2234.23,2104.06,2121.44,1984.7,2009.94,2164.75,1965.56,2035.07,9720.45,6607.74,4868.36,4535.49,5968.12,6456.9,9447.23,5790.26,7441.18,4817.23
198508,17.38,19.32,18.68,17.8,18.95,18.19,17.75,17.98,15.49,12.03,75.92,75.03,72.71,79.74,73.11,73.48,71.18,70.71,72.42,72.46,125.42,131.18,127.99,127.19,131.26,128.65,119.55,125.48,119.03,125.27,196.26,201.92,205.87,197.97,208.18,209.17,191.82,190.4,184.93,198.31,301.67,317.69,312.11,307.67,324.22,310.16,321.99,310.79,304.63,292.2,482.6,483.08,463.24,453.55,469.89,463.27,466.57,495.93,480.62,531.65,695.53,726.15,737.19,766.86,750.73,710.07,731.59,732.67,715.69,744.58,1128.34,1118.93,1031.8,1120.01,1187.05,1184.1,1125.71,1075.61,1148.89,1170.38,2083.42,1954.2,2149.41,2090.19,2162.42,1942.39,1933.54,2126.56,1874.99,1887.96,9836.63,6623.6,4886.66,4550.14,5716.39,6370.64,9290.52,5755.7,7159.81,4873.49
198509,17.28,19.22,18.65,17.79,19.37,18.03,17.88,17.84,15.17,11.99,74.2,73.47,71.65,77.63,71.5,73.61,70.59,71.72,72.01,72.06,121.96,128.76,127.26,125.71,130.48,130.24,120.1,125.48,119.35,125.97,190.8,201.8,199.7,198.14,207.21,212.19,193.35,186.57,180.91,199.89,290.8,313.56,300.4,311.03,317.22,314.07,316.93,308.14,310.15,297.02,471.33,473.95,457.82,457.65,467.07,461.3,466.47,491.9,476.82,514.82,683.71,715.07,721.65,787.05,756.6,716.95,724.01,716.13,715.8,740.12,1097.6,1100.24,1027.19,1080.09,1126.55,1198.2,1108.61,1094.72,1137.37,1166.76,2044.51,1914.34,2109.36,2076.09,2129.46,1918.4,1938.08,2117.91,1869.11,1884.49,9632.76,6452.12,4870.75,4540.54,5759.85,6175.18,9153.29,5792.78,7220.34,4837.64
198510,15.74,17.89,17.62,16.85,18.41,17.25,17.25,17.56,14.47,11.29,68.01,68.97,66.82,72.69,68.14,69.4,67.76,67.43,69.69,69.32,114,117.35,118.04,119.44,125.14,126.19,114.86,118.27,112.23,116.84,176.95,184.59,187.88,183.94,196.63,208.22,188.24,175.7,171.98,185.78,266.86,281.97,289.55,292.42,302.81,296.63,309.4,302.5,302.78,280.32,444.89,444.05,442.44,436.43,460.44,438.46,445.31,460.38,466.44,496.83,635.1,689.85,666.95,773.15,713.47,688.12,682.52,663.21,674.89,703.93,1050.48,1045.91,989.09,1024.1,1059.5,1141.29,1046.13,1009.82,1082.34,1097.86,1820.33,1806.93,2060.17,2069.51,2066.63,1834.66,1825.39,1939.03,1743.08,1663.15,9362.91,6156.56,4703.34,4407.99,5685.9,6098.96,8930.52,5662.28,6912.6,4730.39
198511,15.81,18.23,18.01,16.75,18.97,17.7,17.45,18,14.98,11.3,68.82,70.84,68.55,75.04,72.36,71.06,71.82,70.31,70.12,72.25,116.73,123.64,122.59,123.1,129,129.7,122.67,125.04,111.17,124.65,187.96,184.3,197.17,189.07,201.09,217.75,196.74,182.84,180.57,186.92,274.2,299.65,298.79,298.2,319.46,309.1,321.6,313.03,314.94,293.24,452.43,467.85,475.1,455.64,478.41,457.06,456.72,458.93,482,493.05,654.68,739.75,702.29,768.51,720.78,723.64,710.15,705.1,704.75,724.4,1111.43,1115.11,1050.04,1064.69,1115.15,1186.45,1107.55,1051.34,1173.65,1143.67,1968.82,1865.37,2175.15,2175.43,2134.37,1969.45,1968.73,2057.17,1865.48,1844.14,9672.29,6357.84,4802.65,4765.86,6028.14,6226,9458.52,5863.05,7278.89,4929.07
198512,16.66,18.94,18.84,17.7,20.05,18.77,18.27,18.75,15.64,11.89,74.61,75.37,73.31,80.64,77.42,76.22,75,74.86,74.49,75.37,128.13,134.3,130.53,130.2,136.98,136.07,134.8,132.74,117.75,133.98,206.5,198.51,213.49,200.26,220.13,232.42,209.06,193.14,196.67,191.91,298.97,319.45,316.74,326.79,339.65,323.86,342.05,333.26,329.15,313.61,482.35,500.52,492.52,485.49,498.7,495.06,494.88,468.56,495.1,537.44,722,805.78,732.98,846.73,780.72,781.16,775.42,734.83,680.04,752.95,1207.68,1164.86,1110.72,1137.32,1201.42,1274.85,1161.63,1095.04,1236.92,1191.37,2129.17,2020.77,2341.66,2402.24,2281.16,2112.56,2066.61,2153.41,1929.76,1954.09,10535.62,7053.63,5166.3,5064.24,6537.77,6573.76,9682.67,6024.48,7668.89,4984.66
198601,17.3,19.42,19.7,18.78,20.58,19.59,18.95,19.58,16.37,12.1,79.49,77.52,77.42,84.48,83.02,77.49,78.96,77.72,77.58,79.18,133.61,146.45,137.04,136.3,142.18,142.66,139.04,135.95,121.98,134.81,215.26,207.71,222.46,207.05,232.9,245.43,218.42,198.69,197.65,187.29,318.08,345.65,329.3,340.11,356.44,330.34,343.21,340.28,342.21,339.67,505.24,525.29,533.38,501.2,507.99,488.49,514.26,480.02,518.68,559.8,745.7,839.15,785.57,863.44,821.56,785.21,779.4,762.97,696.27,806.24,1248.83,1207.95,1162.27,1175.77,1223.12,1312.82,1214.3,1164.7,1307.2,1215.17,2216.91,2127.25,2367.93,2471.6,2371.94,2179.1,2138.86,2248.45,1995.34,2131.1,11304.62,7513.91,5405.21,5465.37,6985.72,6771.2,9894.94,6194.84,8040.8,4992.54
