,date,mean_1_return,mean_amc
0,192607,0.0,40.47469999999999
1,192608,-5.874046999999999,41.95
2,192609,-4.572399999999999,43.5564
3,192610,-7.89899,43.6681
4,192611,-9.647887,42.0308
5,192612,-4.711349000000001,43.0797
6,192701,-4.468660000000001,44.1747
7,192702,-6.2030259999999995,44.5642
8,192703,-1.8200799999999995,47.02589999999999
9,192704,-8.039337000000002,46.89020000000001
10,192705,-5.717521,47.196999999999996
11,192706,-0.48182600000000037,50.0709
12,192707,-8.51386,44.231300000000005
13,192708,1.673227,47.693400000000004
14,192709,-4.757267000000001,48.27790000000001
15,192710,-1.6602179999999993,50.41010000000002
16,192711,-8.919457000000001,47.15610000000001
17,192712,3.304573999999999,50.6584
18,192801,-3.0348169999999994,51.59530000000001
19,192802,-4.200060000000001,51.29150000000001
20,192803,-8.350353000000002,50.25790000000001
21,192804,1.5383809999999989,54.775499999999994
22,192805,0.5639380000000007,57.816900000000004
23,192806,-2.5540079999999996,58.32040000000001
24,192807,-12.443145000000001,60.07380000000001
25,192808,-4.687728999999999,60.483300000000014
26,192809,0.76157,64.81510000000002
27,192810,-0.5513750000000001,66.5699
28,192811,-3.2057320000000002,67.35340000000001
29,192812,5.927007000000002,76.14099999999999
30,192901,-5.305013,75.9933
31,192902,-2.078033999999999,79.7052
32,192903,-4.507429,79.96730000000001
33,192904,-7.762925000000001,79.47930000000001
34,192905,-3.8356109999999997,80.90890000000002
35,192906,-13.302048999999995,76.6583
36,192907,2.9688310000000007,86.75129999999999
37,192908,-4.464689,91.3389
38,192909,-3.5695619999999995,100.23870000000001
39,192910,-10.498204999999999,94.8101
40,192911,-24.3086,77.7592
41,192912,-17.536157999999997,67.8064
42,193001,-7.606656999999999,68.60920000000002
43,193002,1.7640250000000008,71.6882
44,193003,-3.7302690000000003,73.165
45,193004,4.297283,78.7862
46,193005,-10.757228,76.16550000000001
47,193006,-9.365787000000001,74.78080000000001
48,193007,-22.227946999999993,47.488200000000006
49,193008,-7.370497,49.782799999999995
50,193009,-13.508176,49.14050000000001
51,193010,-24.511598,41.32490000000001
52,193011,-20.805424999999996,36.595200000000006
53,193012,-13.392977999999998,34.868100000000005
54,193101,-22.221077,30.709900000000008
55,193102,-0.20105899999999735,33.7975
56,193103,2.4453910000000008,38.19470000000001
57,193104,-16.081114,34.206
58,193105,-24.859304999999996,28.401200000000006
59,193106,-23.703015999999998,22.4232
60,193107,3.0170120000000007,26.86810000000001
61,193108,-19.784758,23.486200000000007
62,193109,-14.885795,23.328899999999997
63,193110,-40.23964899999999,12.620300000000002
64,193111,-5.412317999999999,14.361799999999995
65,193112,-21.981126,11.136199999999999
66,193201,-28.471632999999994,7.070500000000003
67,193202,-9.147333,6.959700000000001
68,193203,-12.640608000000002,6.880300000000003
69,193204,-24.27505999999999,4.198299999999997
70,193205,-29.689246999999995,0.7616000000000009
71,193206,-31.39633899999999,-2.3857999999999993
72,193207,-10.512531999999998,3.4393000000000007
73,193208,33.00045500000001,8.515999999999998
74,193209,52.518041999999994,16.065500000000004
75,193210,-15.064268,14.902699999999998
76,193211,-26.580583999999995,11.253900000000002
77,193212,-17.532897000000002,9.7586
78,193301,-13.190369,10.1071
79,193302,-3.023441999999999,10.554499999999997
80,193303,-26.464428999999996,7.3130999999999995
81,193304,0.04289500000000032,8.0588
82,193305,36.686027,15.328999999999997
83,193306,44.07501100000001,21.244800000000005
84,193307,9.974925,31.95710000000001
85,193308,-14.210786,28.536400000000008
86,193309,6.625024999999999,33.2785
87,193310,-18.838483999999998,27.711700000000004
88,193311,-15.725452000000002,24.193900000000003
89,193312,1.6022000000000003,27.153000000000006
90,193401,-3.084139999999999,28.1734
91,193402,22.574101000000006,33.76369999999999
92,193403,-3.9152070000000005,32.4119
93,193404,-4.282154,32.344800000000006
94,193405,-6.093656999999999,31.200100000000003
95,193406,-15.022141999999997,27.833600000000004
96,193407,-4.006053,34.5202
97,193408,-22.363109999999995,28.901900000000005
98,193409,6.268135999999999,30.575500000000005
99,193410,-4.279483000000002,30.33140000000001
100,193411,-5.773325,29.318600000000007
101,193412,9.92496,31.7213
102,193501,-1.3992800000000003,31.7179
103,193502,-7.777143,30.028500000000008
104,193503,-9.156039,28.7771
105,193504,-10.720982,27.145400000000006
106,193505,7.023382999999999,30.1366
107,193506,-1.0970779999999996,31.284400000000005
108,193507,1.0513720000000002,34.4433
109,193508,7.899815000000001,37.9044
110,193509,3.291331,38.8793
111,193510,-0.45364700000000036,39.546400000000006
112,193511,5.002219000000001,42.4258
113,193512,9.973086,45.23500000000001
114,193601,3.815059000000001,47.729800000000004
115,193602,9.928694,51.7931
116,193603,2.2968839999999995,54.2336
117,193604,-0.772905,54.5141
118,193605,-16.372992,49.3879
119,193606,2.260571000000001,51.99710000000001
120,193607,-3.5353030000000008,46.429500000000004
121,193608,3.0431779999999997,50.2224
122,193609,-3.020268000000001,50.8041
123,193610,-1.9754310000000002,51.165600000000005
124,193611,1.6718059999999992,55.48299999999999
125,193612,3.385520000000001,56.68240000000001
126,193701,-2.846669999999999,57.249700000000004
127,193702,1.8345960000000014,59.5793
128,193703,-1.5341489999999995,60.8432
129,193704,-4.856115000000001,61.48280000000002
130,193705,-15.180845,56.2552
131,193706,-7.797387,55.1338
132,193707,-12.353104,58.18389999999999
133,193708,7.988989,63.58449999999999
134,193709,-7.623380000000001,59.74940000000001
135,193710,-21.658187,50.5388
136,193711,-12.153362,45.16219999999999
137,193712,-12.578018999999998,40.6828
138,193801,-12.962694999999998,38.3006
139,193802,1.632258,38.34309999999999
