,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,ME1 BM5,ME1 BM6,ME1 BM7,ME1 BM8,ME1 BM9,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME2 BM6,ME2 BM7,ME2 BM8,ME2 BM9,ME2 BM10,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME3 BM6,ME3 BM7,ME3 BM8,ME3 BM9,ME3 BM10,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,ME4 BM6,ME4 BM7,ME4 BM8,ME4 BM9,ME4 BM10,ME5 BM1,ME5 BM2,ME5 BM3,ME5 BM4,ME5 BM5,ME5 BM6,ME5 BM7,ME5 BM8,ME5 BM9,ME5 BM10,ME6 BM1,ME6 BM2,ME6 BM3,ME6 BM4,ME6 BM5,ME6 BM6,ME6 BM7,ME6 BM8,ME6 BM9,ME6 BM10,ME7 BM1,ME7 BM2,ME7 BM3,ME7 BM4,ME7 BM5,ME7 BM6,ME7 BM7,ME7 BM8,ME7 BM9,ME7 BM10,ME8 BM1,ME8 BM2,ME8 BM3,ME8 BM4,ME8 BM5,ME8 BM6,ME8 BM7,ME8 BM8,ME8 BM9,ME8 BM10,ME9 BM1,ME9 BM2,ME9 BM3,ME9 BM4,ME9 BM5,ME9 BM6,ME9 BM7,ME9 BM8,ME9 BM9,ME9 BM10,BIG LoBM,ME10 BM2,ME10 BM3,ME10 BM4,ME10 BM5,ME10 BM6,ME10 BM7,ME10 BM8,ME10 BM9,BIG HiBM
194208,-99.99,-2.3168,-18.1818,-99.99,15.7868,3.0874,-6.7902,2.2773,-0.2073,2.3439,14.2857,-3.2258,-99.99,6.0659,0.3598,1.0635,5.9152,-0.4601,0.687,1.925,-99.99,-1.5429,4.8131,4.5226,4.3669,3.0445,3.4157,3.0581,8.2623,2.564,-99.99,0.4807,2.4159,2.373,2.5978,4.4313,2.9674,3.1517,-1.7682,0.1398,0.6414,3.3477,3.2218,3.8398,-0.5334,1.9041,-0.1799,2.6922,6.7293,0.912,1.3317,11.3079,3.4604,0.5754,2.7973,-0.745,1.3703,4.8674,4.4862,2.433,-0.6972,2.1377,0.4527,2.7032,0.9707,2.6432,-1.0303,2.8162,0,-1.1184,2.5125,5.6655,3.7178,0.3235,2.7904,1.6789,0.689,1.7764,2.9019,4.9721,1.2384,2.0918,2.6741,1.1374,-0.4625,3.2345,3.0036,4.8576,24.3902,1.7623,0.8943,1.5853,2.3837,1.2126,0.7008,2.3283,4.2402,3.8813,2.0755,4.1916
194209,-99.99,-4.7173,44.4444,-99.99,-4.0007,9.8057,6.6158,2.9919,3.9206,21.8234,18.75,13.3333,-99.99,7.6089,-1.4561,1.9891,6.4651,11.0214,3.8653,10.8427,-99.99,14.9954,3.1987,-3.0485,6.8119,1.4975,3.2216,6.3407,2.6257,2.2801,-99.99,0.8087,0.6693,4.3297,3.7444,5.8634,1.7286,5.7566,1.3445,6.2234,-0.5659,-0.4899,4.1064,0.6648,3.4371,0.8744,2.869,6.0876,4.5139,9.3009,6.3617,-0.0394,0.481,3.3657,0.9952,1.0981,4.736,0.5573,0.5665,3.0549,0.8986,4.4218,2.6386,4.823,3.5219,4.7908,3.0108,-0.0521,-8.6957,17.6032,1.4271,3.6773,2.4074,3.6263,2.1963,2.0376,3.3262,3.1022,0.4396,10.8206,0.9818,2.1405,2.7236,3.7065,3.9085,3.1126,2.8557,5.9844,5.8824,3.9852,3.8165,1.9536,1.7728,4.0276,-0.3282,0.4718,1.8996,1.9156,1.9048,13.5057
194210,-99.99,-3.1525,15.3846,-99.99,6.6162,14.5745,4.3622,35.9799,14.0905,10.7678,2.6316,5.8824,-99.99,11.4503,20.7629,15.8298,5.0676,9.6903,12.2606,11.5289,-99.99,20.56,0.2345,11.3851,6.6884,5.1477,10.1759,10.6565,12.8848,20.6477,-99.99,5.8984,11.1481,5.938,5.8664,8.81,11.8358,8.768,14.5984,30.0778,14.1707,6.3587,6.3774,6.4806,9.5953,5.9345,6.1039,12.9295,13.0762,22.0127,7.8623,15.2453,8.5849,3.4398,6.852,14.3115,7.642,8.883,7.7645,17.5789,8.326,9.5011,7.8313,6.2062,4.3225,8.803,11.7809,10.156,14.2857,36.3004,4.4384,9.2461,8.2937,6.8569,5.3955,6.8202,8.0017,12.2535,11.4207,5.0492,3.5696,6.2234,3.7222,4.6589,10.0237,16.1681,12.2333,8.3122,3.7037,17.2832,5.4383,4.2324,5.4908,5.7247,7.403,9.918,9.7397,11.8806,21.4953,4.557
194211,-99.99,14.7642,33.3333,-99.99,1.4699,-0.7053,4.4894,-12.5556,-2.9309,-9.1771,17.9487,-5.5556,-99.99,-3.086,-4.6991,-9.3083,0.967,-1.6481,-2.4501,-12.3255,-99.99,-1.182,-0.0609,0.3765,1.6709,0.1357,-7.6359,-2.7125,1.7563,-3.6312,-99.99,1.305,-4.8086,-0.7885,-1.2587,-3.0382,-3.0565,-2.7755,-2.8871,-16.2375,-2.4258,1.7835,-2.9052,-0.9337,-1.9764,-3.4958,-5.8204,-2.1862,6.6695,-12.3638,-3.6518,-2.1886,-3.0961,1.25,0.8175,-1.0157,2.9067,-0.0886,4.955,-13.5978,0.1726,-1.9914,-0.4764,1.0732,-2.4878,-2.7014,3.4928,-8.4193,0,21.9036,3.1393,-1.8257,-4.2447,1.5237,0.0044,1.7094,-0.9687,-3.7536,-5.0368,-13.2399,-0.5475,-1.3505,3.1209,-0.348,0.4917,1.1611,-2.3274,-1.2933,-3.6364,-7.4255,1.5945,0.7127,1.4725,2.7322,1.6935,-0.8303,-4.5952,-4.3026,-3.6923,-11.7048
194212,-99.99,-9.8533,0,-99.99,6.6011,3.9726,-1.5451,-0.5276,1.3744,-6.2062,-4.3478,1.1765,-99.99,0.7763,-1.0512,4.1965,-0.7532,-0.9423,0.4669,-0.4613,-99.99,6.1712,3.8869,2.1114,3.4323,1.7791,3.5207,-2.246,2.8245,10.0411,-99.99,-0.6998,8.204,5.178,3.727,2.8151,8.3526,0.2573,1.1811,8.3572,-2.141,2.4369,1.9465,6.0183,6.5752,-0.087,7.0959,6.6607,3.415,4.0625,4.4743,5.1812,3.8185,-3.1788,4.0063,2.4159,4.8183,2.7046,4.4241,1.8508,7.412,3.3218,4.7575,6.0942,4.9111,5.7607,-1.7858,4.2937,4.1667,2.1244,8.1825,5.984,3.4472,4.6976,5.2755,3.8935,8.3834,5.7087,8.6545,8.2806,6.3398,7.3334,6.3661,5.0331,7.7857,5.0118,8.5036,13.5247,3.7736,4.8446,4.9996,7.3155,1.8417,6.204,4.5996,7.1467,5.9782,6.4473,1.6393,5.7637
194301,-99.99,30.5555,40,-99.99,15.7706,12.7897,15.459,38.5149,23.2227,54.4638,40.9091,25,-99.99,24.2699,24.1313,22.4631,21.1978,17.8767,23.9661,35.5372,-99.99,20.7675,12.4747,13.1403,7.9392,15.1195,18.4001,19.1061,17.9006,26.2783,-99.99,9.3209,10.3876,13.1059,12.367,15.3622,18.1856,19.1285,26.5116,28.8633,14.1105,11.7401,7.7454,11.5686,12.6431,14.4157,8.2849,14.1311,20.5677,43.9407,6.2678,3.747,9.9501,9.6089,14.43,12.9698,12.6424,13.4379,16.6592,10.1848,7.7643,5.9167,9.1345,8.7718,8.1738,8.6252,14.6395,13.8219,28,13.5408,3.1818,5.1968,9.7438,7.5484,9.2199,8.6272,10.2546,12.436,9.5862,10.6947,8.3577,5.7214,5.9918,6.4892,13.1548,10.6959,10.4322,7.5359,18.1818,11.3558,5.6565,4.8883,4.329,6.9251,6.2518,4.8977,7.6226,6.801,12.0968,6.812
194302,-99.99,13.7852,57.1429,-99.99,7.6505,11.8297,19.5495,26.469,19.3258,48.8124,22.5806,15,-99.99,14.565,14.9739,11.6457,17.1824,16.3927,18.4848,22.9214,-99.99,17.3723,6.6244,10.6981,3.804,9.0054,12.1396,11.6116,17.2466,14.6078,-99.99,15.9609,10.4082,8.9367,6.9834,8.4797,7.3284,18.1686,10.4568,17.7031,6.584,10.7705,8.0111,7.7785,15.017,4.3805,10.8214,7.7035,10.5515,40.3456,8.8156,2.7804,6.9624,6.4925,7.7842,11.4779,9.1622,14.1987,7.6476,28.3917,2.9085,7.9155,6.2047,7.573,6.7101,8.1246,16.9861,7.9951,18.75,8.2454,5.0099,3.9883,10.6891,4.5069,7.426,5.4241,7.3219,9.5084,9.4065,15.5017,3.7798,5.5541,7.9307,6.3067,10.4083,13.5898,9.3127,7.4855,15.625,12.4966,2.6536,5.0473,7.1888,4.2617,4.1531,8.0285,9.3512,11.0856,12.3741,9.2105
194303,-99.99,5.6507,-9.0909,-99.99,17.43,17.0393,18.2716,19.0613,16.1775,1.6483,28.9474,30.4348,-99.99,0.707,29.5304,12.1315,18.7828,11.9588,17.9613,27.838,-99.99,22.4272,10.5331,3.0563,15.4577,19.1873,15.7416,13.7781,19.4519,26.1049,-99.99,8.5695,10.7673,16.2029,16.7402,11.7464,13.6123,10.9998,17.6933,16.6609,18.7034,6.2484,9.1128,6.8169,7.493,9.001,7.4464,15.6915,18.5771,-3.322,7.0261,9.992,4.6404,10.6292,7.3724,14.0293,10.9698,15.3397,15.2921,28.367,7.0503,8.8566,8.9231,6.042,4.0001,10.345,-0.1505,12.9539,-2.6316,20.0082,7.6048,11.3182,4.9266,8.2372,8.0762,10.695,10.2223,19.9556,20.8476,8.7252,7.3164,3.6816,8.7974,8.9747,10.7108,7.2031,14.214,13.8415,8.1081,21.3985,2.5448,4.8451,3.0454,5.5184,7.5432,4.3967,6.2331,6.9551,3.9216,5.5422
194304,-99.99,11.5717,15,-99.99,1.0965,-0.5176,10.9757,1.2775,16.8525,13.0217,0,6.6667,-99.99,-0.3737,-6.6094,3.7851,10.5602,-1.3914,8.4768,13.0372,-99.99,-0.6368,-3.3337,14.9452,2.0529,3.0819,3.5389,6.9225,4.5398,8.2133,-99.99,-0.8926,-1.2783,2.8162,2.1867,-2.6293,11.2486,6.0223,7.2025,12.9634,-0.7075,1.2402,-3.8113,0.1692,3.4012,1.976,-2.3827,2.9253,10.9926,12.3061,0.14,0.0546,1.3053,-0.2824,6.1792,0.4,3.4036,9.0834,-0.5615,11.2264,-0.8214,2.865,0.0209,6.2019,0.4976,2.3684,13.0867,0.1101,13.5135,39.3899,-0.5879,2.3409,-2.4353,-2.5465,0.4639,-1.7845,5.256,-2.0355,3.436,4.0754,-0.6616,-0.3313,-0.1035,2.4534,4.4746,6.2547,-1.9992,1.8739,7.5,7.6395,-0.5489,-1.1661,1.353,1.1256,-4.0513,0.1648,0.9686,-1.6011,-1.2579,1.8265
194305,-99.99,4.2561,-4.3478,-99.99,1.1551,17.7229,0.0484,5.7967,11.558,22.7116,12.2449,0,-99.99,9.934,19.3618,11.4232,10.1858,14.1542,13.3305,11.1745,-99.99,20.1063,8.1537,7.9253,7.0244,4.984,5.9406,10.1034,13.1018,6.7321,-99.99,13.6096,10.4307,12.1496,10.2584,13.7729,9.5345,6.7691,17.8683,18.8332,3.516,4.9702,7.957,6.0486,6.9249,10.397,7.7731,7.8971,8.0031,31.7837,3.396,6.9352,3.3491,1.3107,4.5613,10.2289,5.9803,4.7248,10.5767,4.7286,5.5233,0.264,5.3347,9.6017,3.7355,4.867,9.2554,9.4582,2.381,16.011,3.0923,3.9161,8.5637,6.282,6.7434,5.8479,3.1165,13.175,7.3578,7.0484,1.3778,5.7865,4.1065,6.2245,6.8676,5.4142,7.5578,7.4595,3.5294,5.9185,5.6284,5.804,4.59,4.3376,9.3584,5.8803,5.2591,6.4905,4.586,5.7604
